AssociationId,Region,Market,Store,Date,Sales,Store_Size,Num_Employees,Num_Customers,Returns_Pct,Pct_On_Sale,Pct_Promotional,Marketing,TouristEvent,Econ_ChangeGDP,EconJobsChange,AnnualizedCPI
Louisville - 2014-02-04,Central,Commercial,Louisville,2014-02-04,110616.0,20100,45.0,185.0,0.89,9.79,0.077324547,In Store Credit Card Signup Discount; Presidents Day Email Blast ID1.353,No,,,
Louisville - 2014-02-05,Central,Commercial,Louisville,2014-02-05,111477.0,20100,47.0,217.0,0.84,8.23,0.077324547,In Store Credit Card Signup Discount; Presidents Day Email Blast ID5.2371,No,,,
Louisville - 2014-02-06,Central,Commercial,Louisville,2014-02-06,96537.0,20100,83.0,237.0,0.51,10.94,0.077324547,In Store Credit Card Signup Discount; Presidents Day Email Blast ID0.2288,No,,,
Louisville - 2014-02-07,Central,Commercial,Louisville,2014-02-07,100257.0,20100,65.0,380.0,1.06,11.64,0.077324547,In Store Credit Card Signup Discount; Presidents Day Email Blast ID12.9121,No,,,
Louisville - 2014-02-08,Central,Commercial,Louisville,2014-02-08,162700.0,20100,115.0,711.0,1.01,11.45,0.077324547,In Store Credit Card Signup Discount; Presidents Day Email Blast ID0.3296,No,,4000.0,
Louisville - 2014-02-09,Central,Commercial,Louisville,2014-02-09,130914.0,20100,70.0,504.0,1.14,8.92,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID1.4294,No,,,
Louisville - 2014-02-10,Central,Commercial,Louisville,2014-02-10,103587.0,20100,54.0,259.0,0.4,6.02,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID8.6219,No,,,
Louisville - 2014-02-11,Central,Commercial,Louisville,2014-02-11,117515.0,20100,43.0,330.0,0.76,10.98,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID18.1058,No,,,
Louisville - 2014-02-12,Central,Commercial,Louisville,2014-02-12,121165.0,20100,57.0,350.0,0.51,11.59,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID7.2207,No,,,
Louisville - 2014-02-13,Central,Commercial,Louisville,2014-02-13,138156.0,20100,72.0,464.0,0.59,7.96,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID2.0639,No,,,
Louisville - 2014-02-14,Central,Commercial,Louisville,2014-02-14,154301.0,20100,83.0,620.0,1.07,8.26,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID21.0997,No,,,
Louisville - 2014-02-15,Central,Commercial,Louisville,2014-02-15,292292.0,20100,232.0,2302.0,1.14,13.26,0.096221111,In Store Credit Card Signup Discount; Presidents Day Email Blast ID22.1819,Yes,,1000.0,
Louisville - 2014-02-16,Central,Commercial,Louisville,2014-02-16,225243.0,20100,212.0,2033.0,1.06,11.66,0.097278295,In Store Credit Card Signup Discount; Presidents Day Email Blast ID22.5853,Yes,,,
Louisville - 2014-02-17,Central,Commercial,Louisville,2014-02-17,197744.0,20100,133.0,1569.0,0.42,10.12,0.097278295,In Store Credit Card Signup Discount; Presidents Day Email Blast ID4.9099,Yes,,,
Louisville - 2014-02-18,Central,Commercial,Louisville,2014-02-18,121035.0,20100,74.0,237.0,0.53,10.07,0.097278295,In Store Credit Card Signup Discount; ID35.5646,No,,,
Louisville - 2014-02-19,Central,Commercial,Louisville,2014-02-19,116331.0,20100,63.0,309.0,0.22,10.58,0.097278295,In Store Credit Card Signup Discount; ID7.4233,No,,,
Louisville - 2014-02-20,Central,Commercial,Louisville,2014-02-20,104451.0,20100,67.0,248.0,0.21,13.21,0.097278295,In Store Credit Card Signup Discount; ID34.6491,No,,,
Louisville - 2014-02-21,Central,Commercial,Louisville,2014-02-21,120984.0,20100,103.0,331.0,0.67,12.44,0.097278295,In Store Credit Card Signup Discount; ID1.4791,No,,,
Louisville - 2014-02-22,Central,Commercial,Louisville,2014-02-22,142521.0,20100,103.0,599.0,0.9,9.9,0.097278295,In Store Credit Card Signup Discount; ID42.0301,No,,-2750.0,
Louisville - 2014-02-23,Central,Commercial,Louisville,2014-02-23,100852.0,20100,61.0,403.0,0.53,8.04,0.095962363,In Store Credit Card Signup Discount; ID16.9832,No,,,
Louisville - 2014-02-24,Central,Commercial,Louisville,2014-02-24,120703.0,20100,40.0,218.0,0.24,8.59,0.095962363,In Store Credit Card Signup Discount; ID46.2649,No,,,
Louisville - 2014-02-25,Central,Commercial,Louisville,2014-02-25,112321.0,20100,41.0,238.0,0.59,11.15,0.095962363,In Store Credit Card Signup Discount; ID33.3657,No,,,
Louisville - 2014-02-26,Central,Commercial,Louisville,2014-02-26,117347.0,20100,47.0,248.0,0.23,10.82,0.095962363,In Store Credit Card Signup Discount; ID2.2497,No,,,
Louisville - 2014-02-27,Central,Commercial,Louisville,2014-02-27,123198.0,20100,65.0,227.0,0.19,7.58,0.095962363,In Store Credit Card Signup Discount; ID19.913,No,,,
Louisville - 2014-02-28,Central,Commercial,Louisville,2014-02-28,147839.0,20100,72.0,301.0,0.86,6.96,0.095962363,In Store Credit Card Signup Discount; ID19.7957,No,,,
Louisville - 2014-03-01,Central,Commercial,Louisville,2014-03-01,130301.0,20100,63.0,517.0,0.63,8.22,0.095962363,March In Store Credit Card Signup Discount; ID2.0794,No,,-4000.0,0.015692728
Louisville - 2014-03-02,Central,Commercial,Louisville,2014-03-02,147841.0,20100,68.0,414.0,0.21,6.16,0.151463806,March In Store Credit Card Signup Discount; ID2.1069,No,,,
Louisville - 2014-03-03,Central,Commercial,Louisville,2014-03-03,117079.0,20100,49.0,249.0,0.29,8.26,0.151463806,March In Store Credit Card Signup Discount; ID8.4497,No,,,
Louisville - 2014-03-04,Central,Commercial,Louisville,2014-03-04,116335.0,20100,36.0,238.0,0.15,7.36,0.151463806,March In Store Credit Card Signup Discount; ID4.7852,No,,,
Louisville - 2014-03-05,Central,Commercial,Louisville,2014-03-05,132986.0,20100,43.0,260.0,0.74,8.2,0.151463806,March In Store Credit Card Signup Discount; ID10.604,No,,,
Louisville - 2014-03-06,Central,Commercial,Louisville,2014-03-06,121166.0,20100,110.0,279.0,0.23,7.28,0.151463806,March In Store Credit Card Signup Discount; ID17.04,No,,,
Louisville - 2014-03-07,Central,Commercial,Louisville,2014-03-07,111841.0,20100,69.0,332.0,0.94,13.68,0.151463806,March In Store Credit Card Signup Discount; ID15.2624,No,,,
Louisville - 2014-03-08,Central,Commercial,Louisville,2014-03-08,144006.0,20100,69.0,590.0,1.08,9.93,0.151463806,March In Store Credit Card Signup Discount; ID18.7789,No,,-2750.0,
Louisville - 2014-03-09,Central,Commercial,Louisville,2014-03-09,152924.0,20100,87.0,424.0,0.57,11.29,0.163077794,March In Store Credit Card Signup Discount; ID9.8207,No,,,
Louisville - 2014-03-10,Central,Commercial,Louisville,2014-03-10,132571.0,20100,51.0,269.0,0.59,8.52,0.163077794,March In Store Credit Card Signup Discount; ID5.5896,No,,,
Louisville - 2014-03-11,Central,Commercial,Louisville,2014-03-11,111475.0,20100,34.0,238.0,0.36,7.17,0.163077794,March In Store Credit Card Signup Discount; ID27.6825,No,,,
Louisville - 2014-03-12,Central,Commercial,Louisville,2014-03-12,117874.0,20100,54.0,269.0,0.62,7.6,0.163077794,March In Store Credit Card Signup Discount; ID27.7854,No,,,
Louisville - 2014-03-13,Central,Commercial,Louisville,2014-03-13,133130.0,20100,56.0,291.0,0.59,11.21,0.163077794,March In Store Credit Card Signup Discount; ID8.2559,No,,,
Louisville - 2014-03-14,Central,Commercial,Louisville,2014-03-14,149320.0,20100,69.0,487.0,0.78,8.99,0.163077794,March In Store Credit Card Signup Discount; ID21.1979,No,,,
Louisville - 2014-03-15,Central,Commercial,Louisville,2014-03-15,151302.0,20100,83.0,726.0,0.71,11.52,0.163077794,March In Store Credit Card Signup Discount; ID44.7591,No,,-3000.0,
Louisville - 2014-03-16,Central,Commercial,Louisville,2014-03-16,151149.0,20100,56.0,540.0,0.75,9.65,0.139567845,March In Store Credit Card Signup Discount; ID45.6944,No,,,
Louisville - 2014-03-17,Central,Commercial,Louisville,2014-03-17,134600.0,20100,34.0,322.0,0.48,8.05,0.139567845,March In Store Credit Card Signup Discount; ID9.1946,No,,,
Louisville - 2014-03-18,Central,Commercial,Louisville,2014-03-18,145593.0,20100,40.0,280.0,0.47,10.74,0.139567845,March In Store Credit Card Signup Discount; ID52.6521,No,,,
Louisville - 2014-03-19,Central,Commercial,Louisville,2014-03-19,116149.0,20100,61.0,352.0,0.2,7.2,0.139567845,March In Store Credit Card Signup Discount; ID49.0458,No,,,
Louisville - 2014-03-20,Central,Commercial,Louisville,2014-03-20,131430.0,20100,78.0,333.0,0.17,9.76,0.139567845,March In Store Credit Card Signup Discount; ID8.0222,No,,,
Louisville - 2014-03-21,Central,Commercial,Louisville,2014-03-21,159462.0,20100,76.0,457.0,0.5,8.96,0.139567845,March In Store Credit Card Signup Discount; ID48.8863,No,,,
Louisville - 2014-03-22,Central,Commercial,Louisville,2014-03-22,161536.0,20100,90.0,716.0,1.18,9.43,0.139567845,March In Store Credit Card Signup Discount; ID55.796,No,,-4500.0,
Louisville - 2014-03-23,Central,Commercial,Louisville,2014-03-23,143776.0,20100,71.0,519.0,0.6,11.08,0.120437591,March In Store Credit Card Signup Discount; ID22.2764,No,,,
Louisville - 2014-03-24,Central,Commercial,Louisville,2014-03-24,140677.0,20100,42.0,291.0,0.5,8.58,0.120437591,March In Store Credit Card Signup Discount; ID53.0488,No,,,
Louisville - 2014-03-25,Central,Commercial,Louisville,2014-03-25,102344.0,20100,36.0,353.0,0.55,11.64,0.120437591,In Store Credit Card Signup Discount; ID65.6348,No,,,
Louisville - 2014-03-26,Central,Commercial,Louisville,2014-03-26,135519.0,20100,43.0,364.0,0.36,9.05,0.120437591,In Store Credit Card Signup Discount; ID45.3694,No,,,
Louisville - 2014-03-27,Central,Commercial,Louisville,2014-03-27,104884.0,20100,98.0,416.0,0.7,10.53,0.120437591,In Store Credit Card Signup Discount; ID13.2466,No,,,
Louisville - 2014-03-28,Central,Commercial,Louisville,2014-03-28,156439.0,20100,119.0,530.0,1.32,14.47,0.120437591,In Store Credit Card Signup Discount; ID47.08,No,,,
Louisville - 2014-03-29,Central,Commercial,Louisville,2014-03-29,200222.0,20100,94.0,758.0,1.21,12.78,0.120437591,In Store Credit Card Signup Discount; Spring Product Email ID16.0152,No,,3500.0,
Louisville - 2014-03-30,Central,Commercial,Louisville,2014-03-30,149006.0,20100,71.0,530.0,0.28,15.01,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID72.4191,No,,,
Louisville - 2014-03-31,Central,Commercial,Louisville,2014-03-31,144898.0,20100,45.0,384.0,0.21,7.12,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID11.4576,No,,,
Louisville - 2014-04-01,Central,Commercial,Louisville,2014-04-01,141816.0,20100,33.0,302.0,0.67,12.19,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID1.8794,No,4.0,,0.025360217
Louisville - 2014-04-02,Central,Commercial,Louisville,2014-04-02,141171.0,20100,45.0,353.0,0.0,8.42,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID1.8185,No,,,
Louisville - 2014-04-03,Central,Commercial,Louisville,2014-04-03,119888.0,20100,56.0,333.0,0.03,11.64,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID10.7259,No,,,
Louisville - 2014-04-04,Central,Commercial,Louisville,2014-04-04,136655.0,20100,76.0,426.0,0.39,11.44,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID6.6767,No,,,
Louisville - 2014-04-05,Central,Commercial,Louisville,2014-04-05,170245.0,20100,76.0,729.0,0.61,11.29,0.1123893419999999,In Store Credit Card Signup Discount; Spring Product Email ID0.1428,No,,-2750.0,
Louisville - 2014-04-06,Central,Commercial,Louisville,2014-04-06,137968.0,20100,69.0,584.0,0.12,9.55,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID11.2411,No,,,
Louisville - 2014-04-07,Central,Commercial,Louisville,2014-04-07,114840.0,20100,38.0,303.0,0.04,9.51,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID3.4222,No,,,
Louisville - 2014-04-08,Central,Commercial,Louisville,2014-04-08,134190.0,20100,40.0,334.0,0.29,9.07,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID15.0061,No,,,
Louisville - 2014-04-09,Central,Commercial,Louisville,2014-04-09,149675.0,20100,44.0,334.0,0.32,9.94,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID6.504,No,,,
Louisville - 2014-04-10,Central,Commercial,Louisville,2014-04-10,124511.0,20100,85.0,345.0,0.35,10.85,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID2.4608,No,,,
Louisville - 2014-04-11,Central,Commercial,Louisville,2014-04-11,147606.0,20100,111.0,501.0,0.21,7.75,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID8.6632,No,,,
Louisville - 2014-04-12,Central,Commercial,Louisville,2014-04-12,144531.0,20100,67.0,771.0,0.68,7.64,0.103872288,In Store Credit Card Signup Discount; Spring Product Email ID14.0388,No,,-4000.0,
Louisville - 2014-04-13,Central,Commercial,Louisville,2014-04-13,133642.0,20100,62.0,552.0,0.81,10.02,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID33.6328,No,,,
Louisville - 2014-04-14,Central,Commercial,Louisville,2014-04-14,140996.0,20100,45.0,365.0,0.8,6.98,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID2.5352,No,,,
Louisville - 2014-04-15,Central,Commercial,Louisville,2014-04-15,145982.0,20100,47.0,438.0,0.33,7.55,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID56.2473,No,,,
Louisville - 2014-04-16,Central,Commercial,Louisville,2014-04-16,128894.0,20100,54.0,407.0,0.2,9.76,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID57.8815,No,,,
Louisville - 2014-04-17,Central,Commercial,Louisville,2014-04-17,141850.0,20100,65.0,501.0,0.85,7.85,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID26.6804,No,,,
Louisville - 2014-04-18,Central,Commercial,Louisville,2014-04-18,237825.0,20100,116.0,761.0,0.95,13.83,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID22.6901,No,,,
Louisville - 2014-04-19,Central,Commercial,Louisville,2014-04-19,181209.0,20100,113.0,897.0,1.25,16.75,0.093028971,In Store Credit Card Signup Discount; Spring Product Email ID32.9019,No,,2750.0,
Louisville - 2014-04-20,Central,Commercial,Louisville,2014-04-20,108034.0,20100,29.0,0.0,0.19,,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID24.917,No,,,
Louisville - 2014-04-21,Central,Commercial,Louisville,2014-04-21,162738.0,20100,44.0,385.0,0.82,16.37,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID83.8914,No,,,
Louisville - 2014-04-22,Central,Commercial,Louisville,2014-04-22,122951.0,20100,45.0,385.0,0.34,8.48,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID66.3099,No,,,
Louisville - 2014-04-23,Central,Commercial,Louisville,2014-04-23,149235.0,20100,45.0,365.0,0.62,9.06,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID4.926,No,,,
Louisville - 2014-04-24,Central,Commercial,Louisville,2014-04-24,136547.0,20100,100.0,480.0,0.35,10.41,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID67.0264,No,,,
Louisville - 2014-04-25,Central,Commercial,Louisville,2014-04-25,148692.0,20100,113.0,522.0,0.56,7.29,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID18.6676,No,,,
Louisville - 2014-04-26,Central,Commercial,Louisville,2014-04-26,155531.0,20100,109.0,804.0,1.03,8.32,0.066160308,In Store Credit Card Signup Discount; Spring Product Email ID56.7051,No,,2750.0,
Louisville - 2014-04-27,Central,Commercial,Louisville,2014-04-27,150448.0,20100,80.0,522.0,0.47,8.63,0.042468704,April In Store Credit Card Signup Discount; Spring Product Email ID69.7799,No,,,
Louisville - 2014-04-28,Central,Commercial,Louisville,2014-04-28,125063.0,20100,38.0,324.0,0.48,7.15,0.042468704,April In Store Credit Card Signup Discount; Spring Product Email ID11.8425,No,,,
Louisville - 2014-04-29,Central,Commercial,Louisville,2014-04-29,123119.0,20100,38.0,251.0,0.53,8.4,0.042468704,April In Store Credit Card Signup Discount; Spring Product Email ID73.3275,No,,,
Louisville - 2014-04-30,Central,Commercial,Louisville,2014-04-30,155117.0,20100,58.0,346.0,0.18,7.07,0.042468704,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID31.1792,No,,,
Louisville - 2014-05-01,Central,Commercial,Louisville,2014-05-01,129662.0,20100,86.0,346.0,0.28,8.96,0.042468704,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID1.6617,No,,,0.018473973
Louisville - 2014-05-02,Central,Commercial,Louisville,2014-05-02,172684.0,20100,60.0,481.0,0.28,8.53,0.042468704,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID4.8011,No,,,
Louisville - 2014-05-03,Central,Commercial,Louisville,2014-05-03,172465.0,20100,78.0,701.0,0.45,8.99,0.042468704,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID13.8798,No,,4500.0,
Louisville - 2014-05-04,Central,Commercial,Louisville,2014-05-04,128997.0,20100,56.0,503.0,0.51,10.86,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID9.7405,No,,,
Louisville - 2014-05-05,Central,Commercial,Louisville,2014-05-05,121046.0,20100,46.0,271.0,0.67,9.41,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID0.6217,No,,,
Louisville - 2014-05-06,Central,Commercial,Louisville,2014-05-06,125553.0,20100,40.0,262.0,0.29,10.83,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID24.2874,No,,,
Louisville - 2014-05-07,Central,Commercial,Louisville,2014-05-07,131609.0,20100,49.0,282.0,0.16,10.27,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID5.594,No,,,
Louisville - 2014-05-08,Central,Commercial,Louisville,2014-05-08,135522.0,20100,67.0,355.0,1.33,7.11,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID13.0159,No,,,
Louisville - 2014-05-09,Central,Commercial,Louisville,2014-05-09,173304.0,20100,78.0,470.0,1.13,14.06,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID21.9158,No,,,
Louisville - 2014-05-10,Central,Commercial,Louisville,2014-05-10,173896.0,20100,69.0,722.0,0.58,13.17,0.050567509,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID45.1566,No,,500.0,
Louisville - 2014-05-11,Central,Commercial,Louisville,2014-05-11,119764.0,20100,55.0,596.0,0.47,11.71,0.050355131,April In Store Credit Card Signup Discount; Ready for Summer Campaign ID26.6507,No,,,
Louisville - 2014-05-12,Central,Commercial,Louisville,2014-05-12,134410.0,20100,51.0,305.0,0.38,11.04,0.050355131,In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID8.0071,No,,,
Louisville - 2014-05-13,Central,Commercial,Louisville,2014-05-13,108581.0,20100,46.0,314.0,0.21,8.33,0.050355131,In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID39.1421,No,,,
Louisville - 2014-05-14,Central,Commercial,Louisville,2014-05-14,142632.0,20100,51.0,325.0,0.14,12.48,0.050355131,In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID68.1567,No,,,
Louisville - 2014-05-15,Central,Commercial,Louisville,2014-05-15,134170.0,20100,71.0,420.0,0.83,10.31,0.050355131,In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID51.7327,No,,,
Louisville - 2014-05-16,Central,Commercial,Louisville,2014-05-16,135470.0,20100,62.0,493.0,0.87,10.65,0.050355131,In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID14.2191,No,,,
Louisville - 2014-05-17,Central,Commercial,Louisville,2014-05-17,157325.0,20100,62.0,703.0,0.8,10.49,0.050355131,In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID33.468,No,,-250.0,
Louisville - 2014-05-18,Central,Commercial,Louisville,2014-05-18,157810.0,20100,58.0,555.0,0.86,9.91,0.051290149,May In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID89.1782,No,,,
Louisville - 2014-05-19,Central,Commercial,Louisville,2014-05-19,109570.0,20100,49.0,367.0,0.1,10.16,0.051290149,May In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID5.6386,No,,,
Louisville - 2014-05-20,Central,Commercial,Louisville,2014-05-20,143188.0,20100,40.0,367.0,0.63,7.78,0.051290149,May In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID69.0117,No,,,
Louisville - 2014-05-21,Central,Commercial,Louisville,2014-05-21,136233.0,20100,53.0,409.0,0.9,9.08,0.051290149,May In Store Credit Card Signup Discount; Ready for Summer Campaign; Memorial Day Email ID46.0198,No,,,
