"Region","Market","Store","Date","Sales","Store_Size","Num_Employees","Num_Customers","Returns_Pct","Pct_On_Sale","Pct_Promotional","Marketing","TouristEvent","Econ_ChangeGDP","EconJobsChange","AnnualizedCPI"
"Central","Commercial","Louisville","2012-08-02","117797","20100","70","496","0.73","9.74","0.017232143","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID4.9739","No","","",""
"Central","Commercial","Louisville","2012-08-03","125012","20100","60","516","0.31","11.57","0.017232143","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.147","No","","",""
"Central","Commercial","Louisville","2012-08-04","123448","20100","65","694","0.88","8.29","0.017232143","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID24.5867","No","","3500.0",""
"Central","Commercial","Louisville","2012-08-05","124492","20100","87","544","0.67","9.71","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID6.5476","No","","",""
"Central","Commercial","Louisville","2012-08-06","95675","20100","36","384","0.35","10.83","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID25.2042","No","","",""
"Central","Commercial","Louisville","2012-08-07","100043","20100","41","384","0.02","8.72","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID19.5236","No","","",""
"Central","Commercial","Louisville","2012-08-08","114334","20100","41","459","0.9","10.1","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID34.117","No","","",""
"Central","Commercial","Louisville","2012-08-09","114221","20100","64","422","0.59","8.71","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID41.7458","No","","",""
"Central","Commercial","Louisville","2012-08-10","149289","20100","78","564","1.12","13.79","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.9777","No","","",""
"Central","Commercial","Louisville","2012-08-11","136509","20100","60","647","0.74","11.55","0.044655973","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID74.7301","No","","-5000.0",""
"Central","Commercial","Louisville","2012-08-12","120571","20100","52","554","0.61","8.39","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID92.5855","No","","",""
"Central","Commercial","Louisville","2012-08-13","122664","20100","34","404","0.44","10.25","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID37.7972","No","","",""
"Central","Commercial","Louisville","2012-08-14","105718","20100","56","384","0.42","8.45","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID94.5722","No","","",""
"Central","Commercial","Louisville","2012-08-15","108828","20100","52","404","0.42","8.98","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID93.2012","No","","",""
"Central","Commercial","Louisville","2012-08-16","149159","20100","95","565","0.38","8.26","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID110.3682","No","","",""
"Central","Commercial","Louisville","2012-08-17","116824","20100","61","535","0.73","9.25","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID39.1052","No","","",""
"Central","Commercial","Louisville","2012-08-18","126751","20100","75","638","0.27","6.91","0.044466096","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID104.7461","No","","2000.0",""
"Central","Commercial","Louisville","2012-08-19","119550","20100","92","490","0.78","9.48","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID62.3188","No","","",""
"Central","Commercial","Louisville","2012-08-20","95573","20100","49","319","0.13","8.76","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID122.4011","No","","",""
"Central","Commercial","Louisville","2012-08-21","112663","20100","38","377","0.13","10.79","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID156.7884","No","","",""
"Central","Commercial","Louisville","2012-08-22","105238","20100","52","377","0.5","11.05","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID129.5648","No","","",""
"Central","Commercial","Louisville","2012-08-23","117282","20100","97","423","0.48","7.77","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID27.6862","No","","",""
"Central","Commercial","Louisville","2012-08-24","131298","20100","93","574","0.17","12.43","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID79.4708","No","","",""
"Central","Commercial","Louisville","2012-08-25","160188","20100","98","772","0.94","9.36","0.047435984","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID23.4466","No","","1250.0",""
"Central","Commercial","Louisville","2012-08-26","144092","20100","74","546","0.86","14.28","0.047338066","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID204.7023","No","","",""
"Central","Commercial","Louisville","2012-08-27","113956","20100","43","367","0.56","8.99","0.047338066","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID202.6381","No","","",""
"Central","Commercial","Louisville","2012-08-28","147383","20100","38","367","0.46","10.3","0.047338066","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID179.9924","No","","",""
"Central","Commercial","Louisville","2012-08-29","106044","20100","57","312","0.42","10.48","0.047338066","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID182.6228","No","","",""
"Central","Commercial","Louisville","2012-08-30","132922","20100","72","320","0.67","9.75","0.047338066","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID143.8049","No","","",""
"Central","Commercial","Louisville","2012-08-31","172487","20100","79","491","0.35","8.86","0.047338066","August In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign ID205.6679","No","","",""
"Central","Commercial","Louisville","2012-09-01","147490","20100","110","773","0.88","12.36","0.047338066","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID7.2333","No","","-250.0","0.058781839"
"Central","Commercial","Louisville","2012-09-02","136963","20100","72","670","1.08","10.46","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.4763","No","","",""
"Central","Commercial","Louisville","2012-09-03","144682","20100","46","678","0.61","9.44","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID19.367","No","","",""
"Central","Commercial","Louisville","2012-09-04","131544","20100","54","264","0.18","7.8","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID30.5005","No","","",""
"Central","Commercial","Louisville","2012-09-05","101268","20100","57","245","0.59","7.8","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID24.7132","No","","",""
"Central","Commercial","Louisville","2012-09-06","142231","20100","97","330","0.98","6.63","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID32.0763","No","","",""
"Central","Commercial","Louisville","2012-09-07","140308","20100","56","378","0.59","7.17","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID0.9547","No","","",""
"Central","Commercial","Louisville","2012-09-08","146185","20100","56","509","0.81","6.53","0.049866712","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID57.0426","No","","6250.0",""
"Central","Commercial","Louisville","2012-09-09","133253","20100","87","406","0.34","6.27","0.056375383","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID58.764","No","","",""
"Central","Commercial","Louisville","2012-09-10","171849","20100","99","925","0.47","7.9","0.056375383","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID50.796","Yes","","",""
"Central","Commercial","Louisville","2012-09-11","216953","20100","99","1057","0.6","5.66","0.056375383","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID1.7572","Yes","","",""
"Central","Commercial","Louisville","2012-09-12","200173","20100","122","1029","0.14","8.23","0.056375383","September In Store Credit Card Signup Discount; Back to School Mailer and Billboard Campaign; Labor Day Sales Event Campaign ID76.0011","Yes","","",""
"Central","Commercial","Louisville","2012-09-13","147704","20100","62","349","0.64","8.78","0.056375383","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID68.8791","No","","",""
"Central","Commercial","Louisville","2012-09-14","120584","20100","69","386","0.48","8.04","0.056375383","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID65.8381","No","","",""
"Central","Commercial","Louisville","2012-09-15","131278","20100","74","558","0.51","9.1","0.056375383","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID55.4812","No","","3750.0",""
"Central","Commercial","Louisville","2012-09-16","118781","20100","53","406","0.68","6.81","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID111.1316","No","","",""
"Central","Commercial","Louisville","2012-09-17","126444","20100","39","275","0.53","5.58","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID143.4009","No","","",""
"Central","Commercial","Louisville","2012-09-18","118081","20100","44","245","0.35","8.01","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID106.9381","No","","",""
"Central","Commercial","Louisville","2012-09-19","112091","20100","41","245","0.27","5.82","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID136.9457","No","","",""
"Central","Commercial","Louisville","2012-09-20","118462","20100","137","341","0.82","9.08","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID135.4624","No","","",""
"Central","Commercial","Louisville","2012-09-21","111901","20100","84","417","0.75","9.16","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID118.1285","No","","",""
"Central","Commercial","Louisville","2012-09-22","147324","20100","76","662","1.26","6.48","0.055513385","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID135.8954","No","","0.0",""
"Central","Commercial","Louisville","2012-09-23","135477","20100","77","483","0.1","10.03","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID124.7216","No","","",""
"Central","Commercial","Louisville","2012-09-24","119991","20100","41","265","0.25","9.36","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID63.0754","No","","",""
"Central","Commercial","Louisville","2012-09-25","129617","20100","46","237","0.4","7.89","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID2.1624","No","","",""
"Central","Commercial","Louisville","2012-09-26","112629","20100","48","265","0.08","11.34","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID136.3216","No","","",""
"Central","Commercial","Louisville","2012-09-27","114190","20100","87","293","0.63","6.5","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID216.578","No","","",""
"Central","Commercial","Louisville","2012-09-28","115451","20100","79","407","0.48","9.51","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID217.1346","No","","",""
"Central","Commercial","Louisville","2012-09-29","148946","20100","104","653","0.59","8.77","0.052236858","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID260.4503","No","","1000.0",""
"Central","Commercial","Louisville","2012-09-30","131598","20100","71","407","1.03","10.43","0.050737496","Fall In Store Credit Card Signup Discount; Summer Clearance Email Campaign; Fall Product Roll Out Email Campaign ID177.3285","No","","",""
"Central","Commercial","Louisville","2012-10-01","130861","20100","41","228","0.65","9.39","0.050737496","October In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID9.85","No","0.1","","0.032845874"
"Central","Commercial","Louisville","2012-10-02","140451","20100","48","275","0.27","6.78","0.050737496","In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID4.5868","No","","",""
"Central","Commercial","Louisville","2012-10-03","117342","20100","43","256","0.15","6.88","0.050737496","In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID6.964","No","","",""
"Central","Commercial","Louisville","2012-10-04","126863","20100","71","342","0.21","11.27","0.050737496","In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID22.347","No","","",""
"Central","Commercial","Louisville","2012-10-05","118208","20100","78","418","0.67","9.4","0.050737496","In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID30.6805","No","","",""
"Central","Commercial","Louisville","2012-10-06","389915","20100","264","2749","1.08","8.52","0.050737496","In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID46.1922","Yes","","-11250.0",""
"Central","Commercial","Louisville","2012-10-07","254318","20100","221","1783","0.19","9.51","0.052610438","In Store Credit Card Signup Discount; Fall Product Roll Out Email Campaign ID52.5675","Yes","","",""
"Central","Commercial","Louisville","2012-10-08","230203","20100","107","1110","0.21","11.03","0.052610438","In Store Credit Card Signup Discount; ID52.5961","Yes","","",""
"Central","Commercial","Louisville","2012-10-09","117808","20100","63","228","0.42","8.18","0.052610438","In Store Credit Card Signup Discount; ID8.4204","No","","",""
"Central","Commercial","Louisville","2012-10-10","107871","20100","40","238","0.38","10.53","0.052610438","In Store Credit Card Signup Discount; ID25.1244","No","","",""
"Central","Commercial","Louisville","2012-10-11","127577","20100","78","332","0.16","7.7","0.052610438","In Store Credit Card Signup Discount; ID28.2364","No","","",""
"Central","Commercial","Louisville","2012-10-12","128505","20100","88","522","0.94","10.43","0.052610438","In Store Credit Card Signup Discount; ID60.064","No","","",""
"Central","Commercial","Louisville","2012-10-13","155507","20100","78","712","0.42","10.54","0.052610438","In Store Credit Card Signup Discount; ID51.665","No","","-1500.0",""
"Central","Commercial","Louisville","2012-10-14","146470","20100","84","503","0.76","7.01","0.052383315","In Store Credit Card Signup Discount; ID136.2014","No","","",""
"Central","Commercial","Louisville","2012-10-15","111191","20100","61","256","0.25","11.02","0.052383315","In Store Credit Card Signup Discount; ID3.3837","No","","",""
"Central","Commercial","Louisville","2012-10-16","131509","20100","61","304","0.54","7.22","0.052383315","In Store Credit Card Signup Discount; ID49.9124","No","","",""
"Central","Commercial","Louisville","2012-10-17","136081","20100","51","276","0.76","6.2","0.052383315","In Store Credit Card Signup Discount; ID161.5956","No","","",""
"Central","Commercial","Louisville","2012-10-18","127085","20100","119","323","0.32","12.51","0.052383315","In Store Credit Card Signup Discount; ID58.9709","No","","",""
"Central","Commercial","Louisville","2012-10-19","144225","20100","131","457","0.66","14.34","0.052383315","In Store Credit Card Signup Discount; ID21.0428","No","","",""
"Central","Commercial","Louisville","2012-10-20","172567","20100","122","856","0.8","14.93","0.052383315","In Store Credit Card Signup Discount; ID193.1042","No","","-500.0",""
"Central","Commercial","Louisville","2012-10-21","155911","20100","94","523","0.6","12.59","0.047613858","In Store Credit Card Signup Discount; ID184.46","No","","",""
"Central","Commercial","Louisville","2012-10-22","140095","20100","66","257","0.58","6.94","0.047613858","In Store Credit Card Signup Discount; ID203.9154","No","","",""
"Central","Commercial","Louisville","2012-10-23","137211","20100","53","315","0.51","9.02","0.047613858","In Store Credit Card Signup Discount; ID47.7087","No","","",""
"Central","Commercial","Louisville","2012-10-24","146401","20100","73","351","0.2","7.52","0.047613858","In Store Credit Card Signup Discount; ID76.9084","No","","",""
"Central","Commercial","Louisville","2012-10-25","136149","20100","98","333","0.3","6.38","0.047613858","In Store Credit Card Signup Discount; ID198.409","No","","",""
"Central","Commercial","Louisville","2012-10-26","157190","20100","96","427","0.81","7.91","0.047613858","In Store Credit Card Signup Discount; ID148.6645","No","","",""
"Central","Commercial","Louisville","2012-10-27","174921","20100","131","524","0.25","10.66","0.047613858","In Store Credit Card Signup Discount; ID200.0452","No","","-2750.0",""
"Central","Commercial","Louisville","2012-10-28","156397","20100","98","381","0.32","8.73","0.046630313","In Store Credit Card Signup Discount; ID162.0394","No","","",""
"Central","Commercial","Louisville","2012-10-29","138752","20100","61","239","0.43","10.0","0.046630313","In Store Credit Card Signup Discount; ID39.7967","No","","",""
"Central","Commercial","Louisville","2012-10-30","126372","20100","50","277","0.21","5.76","0.046630313","In Store Credit Card Signup Discount; ID243.0758","No","","",""
"Central","Commercial","Louisville","2012-10-31","182603","20100","53","343","0.21","6.35","0.046630313","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.7592","No","","",""
"Central","Commercial","Louisville","2012-11-01","166793","20100","76","333","0.49","10.52","0.046630313","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID6.4748","No","","","-0.019967039"
"Central","Commercial","Louisville","2012-11-02","138926","20100","95","514","0.09","5.58","0.046630313","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3929","No","","",""
"Central","Commercial","Louisville","2012-11-03","186549","20100","70","723","0.56","6.51","0.046630313","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID19.3752","No","","4500.0",""
"Central","Commercial","Louisville","2012-11-04","163741","20100","88","542","1.01","9.92","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID39.1014","No","","",""
"Central","Commercial","Louisville","2012-11-05","127218","20100","32","257","0.2","8.77","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID32.5525","No","","",""
"Central","Commercial","Louisville","2012-11-06","139251","20100","55","257","0.32","9.78","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer ID15.9412","No","","",""
"Central","Commercial","Louisville","2012-11-07","152952","20100","76","295","0.51","10.79","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID24.261","No","","",""
"Central","Commercial","Louisville","2012-11-08","171908","20100","70","344","0.08","6.67","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID16.6085","No","","",""
"Central","Commercial","Louisville","2012-11-09","182940","20100","113","496","0.59","8.45","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID27.6835","No","","",""
"Central","Commercial","Louisville","2012-11-10","324823","20100","312","2946","0.74","10.39","0.045138254","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID53.6663","Yes","","14250.0",""
"Central","Commercial","Louisville","2012-11-11","293803","20100","322","2251","0.53","8.05","0.04431034","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID29.5373","Yes","","",""
"Central","Commercial","Louisville","2012-11-12","246437","20100","173","1984","0.33","9.3","0.04431034","In Store Credit Card Signup Discount; Verterns Door Walk in Sale Mailer; Black Friday Blitz ID124.1958","Yes","","",""
"Central","Commercial","Louisville","2012-11-13","148530","20100","66","296","0.81","6.59","0.04431034","In Store Credit Card Signup Discount; Black Friday Blitz ID5.9006","No","","",""
"Central","Commercial","Louisville","2012-11-14","147222","20100","73","316","0.35","8.12","0.04431034","In Store Credit Card Signup Discount; Black Friday Blitz ID31.707","No","","",""
"Central","Commercial","Louisville","2012-11-15","126310","20100","101","382","0.96","10.92","0.04431034","In Store Credit Card Signup Discount; Black Friday Blitz ID19.522","No","","",""
"Central","Commercial","Louisville","2012-11-16","194127","20100","145","564","0.82","14.83","0.04431034","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID98.3352","No","","",""
"Central","Commercial","Louisville","2012-11-17","264949","20100","190","1003","1.17","19.64","0.04431034","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID65.0255","No","","7750.0",""
"Central","Commercial","Louisville","2012-11-18","194781","20100","146","735","0.71","14.72","0.062555498","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID27.6364","No","","",""
"Central","Commercial","Louisville","2012-11-19","203907","20100","70","497","0.49","8.71","0.062555498","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID22.0351","No","","",""
"Central","Commercial","Louisville","2012-11-20","178371","20100","85","516","0.67","14.54","0.062555498","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID198.0523","No","","",""
"Central","Commercial","Louisville","2012-11-21","195651","20100","92","564","0.49","13.94","0.062555498","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID111.9691","No","","",""
"Central","Commercial","Louisville","2012-11-22","188034","20100","63","822","0.11","14.95","0.062555498","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID97.9764","No","","",""
"Central","Commercial","Louisville","2012-11-23","561518","20100","248","3775","1.92","15.64","0.062555498","In Store Credit Card Signup Discount; Black Friday Blitz; TV commercial; radio spot ID129.1367","No","","",""
"Central","Commercial","Louisville","2012-11-24","274954","20100","148","1032","0.94","16.15","0.062555498","In Store Credit Card Signup Discount; Christmas Email Campaign ID102.3516","No","","6250.0",""
"Central","Commercial","Louisville","2012-11-25","226544","20100","140","774","1.6","17.22","0.063571718","In Store Credit Card Signup Discount; Christmas Email Campaign ID86.175","No","","",""
"Central","Commercial","Louisville","2012-11-26","191789","20100","57","306","0.47","14.33","0.063571718","In Store Credit Card Signup Discount; Christmas Email Campaign ID112.6918","No","","",""
"Central","Commercial","Louisville","2012-11-27","171066","20100","60","286","0.46","10.5","0.063571718","In Store Credit Card Signup Discount; Christmas Email Campaign ID41.4879","No","","",""
"Central","Commercial","Louisville","2012-11-28","193151","20100","45","335","0.64","11.07","0.063571718","In Store Credit Card Signup Discount; Christmas Email Campaign ID246.3047","No","","",""
"Central","Commercial","Louisville","2012-11-29","214884","20100","107","335","1.37","10.24","0.063571718","In Store Credit Card Signup Discount; Christmas Email Campaign ID195.9829","No","","",""
"Central","Commercial","Louisville","2012-11-30","260732","20100","102","430","0.94","15.62","0.063571718","In Store Credit Card Signup Discount; Christmas Email Campaign ID42.0512","No","","",""
